id,A,B,length,freespeed,capacity
916,1297,1009,50,12.500,1080
917,1297,1087,126,12.500,960
918,1297,1093,126,12.500,960
919,1298,1160,272,12.500,960
920,1298,1299,2,12.500,960
921,1299,1166,272,12.500,960
922,1299,1298,2,12.500,960
923,1300,1098,58,12.500,960
924,1300,1301,6,12.500,960
925,1301,1160,52,12.500,960
926,1301,1300,6,12.500,960
927,1302,1100,301,9.722,780
928,1302,1303,4,9.722,780
929,1303,1101,297,9.722,780
930,1303,1302,4,9.722,780
931,1304,1050,342,11.111,780
932,1304,1305,42,11.111,780
933,1305,1054,130,11.111,780
934,1305,1304,42,11.111,780
935,1306,1054,231,11.111,780
936,1306,1307,4,11.111,780
937,1307,1052,8,11.111,780
938,1307,1306,4,11.111,780
939,1308,1196,160,12.500,960
940,1308,1309,8,12.500,960
941,1309,1057,152,12.500,960
942,1309,1308,8,12.500,960
943,1310,1056,186,12.500,1500
944,1310,1311,7,12.500,1500
945,1311,1055,159,12.500,1500
946,1311,1310,7,12.500,1500
947,1312,1056,120,12.500,1500
948,1312,1313,18,12.500,1500
949,1313,1060,102,12.500,1500
950,1313,1312,18,12.500,1500
951,1314,1058,138,8.333,660
952,1314,1315,5,8.333,660
953,1315,1060,133,8.333,660
954,1315,1314,5,8.333,660
955,1316,1317,8,12.500,1500
956,1316,1337,260,12.500,1500
957,1317,1194,143,12.500,1500
958,1317,1316,8,12.500,1500
959,1318,1296,122,12.500,1500
960,1318,1319,40,12.500,1500
961,1319,1318,40,12.500,1500
962,1319,1339,64,12.500,1500
963,1320,1280,128,11.111,780
964,1320,1321,4,11.111,780
965,1321,1031,124,11.111,780
966,1321,1320,4,11.111,780
967,1322,1030,205,12.500,960
968,1322,1323,10,12.500,960
969,1323,1022,93,12.500,960
970,1323,1322,10,12.500,960
971,1324,1028,178,12.500,960
972,1324,1325,36,12.500,960
973,1325,1033,142,12.500,960
974,1325,1324,36,12.500,960
975,1326,1027,50,12.500,960
976,1326,1180,56,12.500,960
977,1327,1159,120,6.944,360
978,1328,1327,15,6.944,360
979,1329,1330,196,12.500,960
980,1329,1331,10,12.500,960
981,1330,1034,88,12.500,960
982,1330,1329,196,12.500,960
983,1331,1289,44,12.500,960
984,1331,1329,10,12.500,960
985,1332,1288,59,12.500,1980
986,1333,1332,15,12.500,1980
987,1334,1188,38,12.500,960
988,1334,1335,12,12.500,960
989,1335,1187,26,12.500,960
990,1335,1334,12,12.500,960
991,1336,1172,34,12.500,1980
992,1337,1316,260,12.500,1500
993,1337,1339,5,12.500,1500
994,1338,1269,105,12.500,960
995,1338,1340,30,12.500,960
996,1339,1319,64,12.500,1500
997,1339,1337,5,12.500,1500
998,1340,1284,181,12.500,960
999,1340,1338,30,12.500,960
1000,1341,1140,226,5.556,300
1001,1341,1342,20,5.556,300
1002,1342,1141,206,5.556,300
1003,1342,1341,20,5.556,300
1004,1343,1256,415,15.278,1260
1005,1343,1344,45,15.278,1260
1006,1344,1292,159,15.278,1260
1007,1344,1343,45,15.278,1260
1008,1345,1123,22,15.278,1260
1009,1345,1292,159,15.278,1260
1010,1346,1146,600,12.500,960
1011,1346,1347,5,12.500,960
1012,1347,1149,1395,12.500,960
1013,1347,1346,5,12.500,960
1014,1348,1148,560,11.111,600
1015,1348,1349,12,11.111,600
1016,1349,1147,548,11.111,600
1017,1349,1348,12,11.111,600
1018,1350,1152,412,12.500,1200
